"variable_id","item_text","n","min","max","mean"
"Year","Year player participated in combine",3477,2009,2019,2013.82369859074
"Player","Player name",3477,1,3476,1738.1714121369
"Age","Age of player",2927,18,28,21.9832593098736
"School","School player attended",3477,1,253,132.171987345413
"Height","Height of player",3477,1.651,2.0828,1.87396773080242
"Weight","Weight of player ",3477,67.58526313,167.3755845,109.74639344593
"Sprint_40yd","40 yard dash sprint time",3303,4.22,6,4.76907962458371
"Vertical_Jump","How high the player jumped",2780,44.45,114.3,83.3924028776978
"Bench_Press_Reps","How many bench press reps the player completed of 225 pounds ",2572,2,49,20.2410575427683
"Broad_Jump","How far the player jumped",2749,198.12,373.38,291.629698072026
"Agility_3cone","Rating of agility based on a 3 cone workout",2260,6.28,9.04,7.23741592920354
"Shuttle","How fast the player completed shuttle exercise",2337,3.81,5.56,4.40384253316217
"Drafted..tm.rnd.yr.","When player was drafted, what round, and what team",2254,1,2254,1127.5
"BMI","The body mass index of a player",3477,21.60979806,44.68009747,31.0744169592091
"Player_Type","Whether a player is on offense or defense or special teams",3477,1,3,1.5933275812482
"Position_Type","The position type of a player. Quarterback, running back, etc",3477,1,7,2.83060109289617
"Position","Exact Position of player",3477,1,20,11.4722461892436
"Drafted","Whether or not the player got drafted",3477,1,2,1.64825999424791
